check folder at path: /Volumes/A_2TB_SSD/mc_ev3_dst/mc_ev3_src
verification (xxh128) of file DCIM/A001/A002_C4945_004945.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4947_004947.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4949_004949.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4951_004951.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4953_004953.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4955_004955.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4957_004957.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4959_004959.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4961_004961.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4963_004963.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4965_004965.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4967_004967.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4969_004969.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4971_004971.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4973_004973.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4975_004975.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4977_004977.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4979_004979.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4981_004981.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4983_004983.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4985_004985.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4987_004987.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4989_004989.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4991_004991.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4993_004993.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4995_004995.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4997_004997.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4999_004999.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4250_004250.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4252_004252.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4254_004254.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4256_004256.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4258_004258.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4260_004260.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4262_004262.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4264_004264.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4266_004266.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4268_004268.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4270_004270.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4272_004272.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4274_004274.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4276_004276.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4278_004278.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4280_004280.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4282_004282.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4284_004284.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4286_004286.braw: OK
verification (xxh128) of file DCIM/A002/A001_C4288_004288.braw: OK
